City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,67.93,clear sky,-33.0153,27.9116,Tu Casa
4,Kavieng,PG,81.79,few clouds,-2.5744,150.7967,Nusa Island Retreat
5,Jamestown,US,77.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Shimoda,JP,79.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
7,Sfantu Gheorghe,RO,66.27,clear sky,45.8667,25.7833,Hotel Park
12,Rikitea,PF,70.07,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Zhangye,CN,74.03,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
14,Santa Maria,BR,60.1,clear sky,-29.6842,-53.8069,Hotel Morotin
15,Thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
16,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
20,Vanimo,PG,77.11,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
21,Fonte Boa,BR,79.59,overcast clouds,-2.4959,-66.2662,
23,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
24,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Sitka,US,62.49,light rain,57.0531,-135.33,Westmark Sitka
33,Tamayo,DO,85.71,broken clouds,18.3947,-71.2029,Hotel del Valle
34,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Mana,GF,81.75,few clouds,5.6592,-53.7767,LE SAMANA
38,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
39,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Dobric,RS,75.25,clear sky,44.7019,19.5814,Stari lipolist
41,Pisco,PE,66.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
43,Chabahar,IR,81.57,few clouds,25.2919,60.643,هتل گدروشیا
46,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
47,Atambua,ID,69.33,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
51,Namatanai,PG,79.32,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
53,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Normandin,CA,71.91,scattered clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
55,Guerrero Negro,MX,86.41,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
56,College,US,84.58,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
57,Saint Anthony,US,87.94,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
58,Albany,US,78.13,overcast clouds,42.6001,-73.9662,
60,Butaritari,KI,82.83,moderate rain,3.0707,172.7902,Isles Sunset Lodge
61,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
62,La Ronge,CA,73.62,smoke,55.1001,-105.2842,Northland Motor Hotel
63,Bonfim,BR,80.74,overcast clouds,3.0833,-59.95,
64,Umm Lajj,SA,88.11,scattered clouds,25.0213,37.2685,Moon light Furnished Units
65,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Avera,US,82.27,broken clouds,33.194,-82.5271,
68,Saint-Junien,FR,61.52,overcast clouds,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
69,Atuona,PF,77.52,few clouds,-9.8,-139.0333,Villa Enata
70,Port Alfred,ZA,67.6,clear sky,-33.5906,26.891,The Halyards Hotel
72,Khatanga,RU,65.16,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
73,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
74,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
75,Nurota,UZ,78.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
76,Eau Claire,US,83.08,clear sky,44.8114,-91.4985,Hampton Inn Eau Claire
77,Gizo,SB,80.76,moderate rain,-8.103,156.8419,Imagination Island
78,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Beloha,MG,62.53,broken clouds,-25.1667,45.05,
83,Luderitz,,61.27,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
84,Mocajuba,BR,81.82,scattered clouds,-2.5842,-49.5072,Hotel Saylon
85,Hilo,US,80.26,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
91,San Ignacio,BZ,78.94,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
92,Bengkulu,ID,75.65,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
93,Seoul,KR,80.04,broken clouds,37.5683,126.9778,롯데호텔 서울
94,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
96,Kaa-Khem,RU,61.14,light rain,51.6833,94.7333,
97,Port Elizabeth,ZA,62.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
98,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
99,Lisakovsk,KZ,70.84,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
100,Ciudad Bolivar,VE,82.31,broken clouds,8.1222,-63.5497,Hotel Edi
101,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
102,Arraial Do Cabo,BR,67.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
103,Lastoursville,GA,77.38,few clouds,-0.8143,12.7287,Auberge Bon Coin 02
104,Mar Del Plata,AR,64.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
106,Reftinskiy,RU,63.0,broken clouds,57.0901,61.6769,Motel Comfort
107,Palmer,US,77.65,overcast clouds,42.1584,-72.3287,Wedgewood Motel
112,Torbay,CA,70.75,few clouds,47.6666,-52.7314,Gallows Cove
113,Asmar,AF,79.12,overcast clouds,35.0333,71.3581,
116,Dalhousie,IN,61.45,scattered clouds,32.5333,75.9833,Hotel Mount View
117,Puerto Leguizamo,CO,79.11,overcast clouds,-0.1934,-74.7819,la casona de juancho
118,That Phanom,TH,76.05,light rain,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
119,Sioux Lookout,CA,86.38,smoke,50.1001,-91.917,Knobby's Fly-In Camps
120,Vallenar,CL,75.18,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
121,Lianran,CN,61.34,clear sky,24.9227,102.485,半岛酒店
122,Feltre,IT,72.37,overcast clouds,46.0235,11.907,Hotel Casagrande
123,Udachnyy,RU,61.02,few clouds,66.4167,112.4,Severnoye Siyaniye
127,Auki,SB,77.59,few clouds,-8.7676,160.7034,Auki Motel
129,Labuhan,ID,75.61,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
130,Yabrud,SY,73.06,clear sky,33.9674,36.6574,المنزل
131,Chandur,IN,74.82,broken clouds,19.7333,79.1833,Devasni Chit Funds P Ltd(SURYA)
134,Marshfield,US,80.33,haze,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
136,Napanee,CA,78.58,clear sky,44.2501,-76.9494,Fox Motor Inn
137,Praia,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
141,Port-Cartier,CA,67.93,broken clouds,50.0334,-66.8654,Le Q'Artier
142,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Maceio,BR,72.84,mist,-9.6658,-35.7353,Poutur Pousada
144,Kavaratti,IN,81.46,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
145,Am Timan,TD,73.17,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
