,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,67.93,28,0,5.26,clear sky
1,Bluff,NZ,-46.6,168.3333,32.81,85,74,7.83,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,7,2.3,clear sky
3,New Norfolk,AU,-42.7826,147.0587,46.92,86,40,1.99,scattered clouds
4,Kavieng,PG,-2.5744,150.7967,81.79,77,14,5.77,few clouds
5,Jamestown,US,42.097,-79.2353,77.29,53,1,3.44,clear sky
6,Shimoda,JP,34.6667,138.95,79.11,87,8,0.92,clear sky
7,Sfantu Gheorghe,RO,45.8667,25.7833,66.27,72,2,1.01,clear sky
8,Qaanaaq,GL,77.484,-69.3632,40.84,95,100,5.32,overcast clouds
9,Busselton,AU,-33.65,115.3333,44.1,76,82,2.57,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,57.88,82,75,1.99,broken clouds
11,Lebu,CL,-37.6167,-73.65,53.8,82,18,14.83,few clouds
12,Rikitea,PF,-23.1203,-134.9692,70.07,54,94,13.29,overcast clouds
13,Zhangye,CN,38.9342,100.4517,74.03,23,100,2.86,overcast clouds
14,Santa Maria,BR,-29.6842,-53.8069,60.1,59,0,8.05,clear sky
15,Thompson,CA,55.7435,-97.8558,84.36,39,90,13.8,smoke
16,Alofi,NU,-19.0595,-169.9187,73.29,68,75,6.91,broken clouds
17,Ushuaia,AR,-54.8,-68.3,44.22,65,20,4.61,few clouds
18,Chokurdakh,RU,70.6333,147.9167,44.78,50,25,7.87,scattered clouds
19,Tasiilaq,GL,65.6145,-37.6368,46.56,79,100,3.49,overcast clouds
20,Vanimo,PG,-2.6741,141.3028,77.11,90,39,5.14,scattered clouds
21,Fonte Boa,BR,-2.4959,-66.2662,79.59,68,100,1.72,overcast clouds
22,Saldanha,ZA,-33.0117,17.9442,56.44,94,6,6.85,clear sky
23,Hambantota,LK,6.1241,81.1185,79.14,94,0,13.8,clear sky
24,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,11.5,scattered clouds
25,Hobart,AU,-42.8794,147.3294,47.26,82,40,1.01,scattered clouds
26,Sitka,US,57.0531,-135.33,62.49,72,90,0.0,light rain
27,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,13.8,broken clouds
28,Hailar,CN,49.2,119.7,58.51,87,100,9.42,moderate rain
29,Mataura,NZ,-46.1927,168.8643,32.49,94,74,2.98,broken clouds
30,Pangnirtung,CA,66.1451,-65.7125,48.2,81,40,4.61,scattered clouds
31,Chiredzi,ZW,-21.05,31.6667,59.68,67,21,1.54,few clouds
32,Kaitangata,NZ,-46.2817,169.8464,37.06,88,23,3.04,few clouds
33,Tamayo,DO,18.3947,-71.2029,85.71,70,75,13.8,broken clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,82,11.72,broken clouds
35,Mana,GF,5.6592,-53.7767,81.75,70,16,7.2,few clouds
36,Castro,BR,-24.7911,-50.0119,51.89,68,17,2.91,few clouds
37,Leningradskiy,RU,69.3833,178.4167,36.5,97,100,4.56,overcast clouds
38,Georgetown,MY,5.4112,100.3354,81.9,87,20,1.99,few clouds
