City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Beloha,MG,2021-07-29 14:47:56,-25.1667,45.05,71.49,65,2,11.83
1,Esperance,AU,2021-07-29 14:47:56,-33.8667,121.9,58.84,72,27,24.79
2,Hermanus,ZA,2021-07-29 14:47:56,-34.4187,19.2345,59.81,79,79,7.54
3,Middletown,US,2021-07-29 14:46:56,39.5151,-84.3983,81.75,85,1,10.36
4,Chokurdakh,RU,2021-07-29 14:47:57,70.6333,147.9167,35.15,77,100,5.97
5,Saskylakh,RU,2021-07-29 14:47:57,71.9167,114.0833,72.57,58,31,7.16
6,Bluff,NZ,2021-07-29 14:47:58,-46.6,168.3333,44.8,81,83,8.25
7,Rikitea,PF,2021-07-29 14:47:58,-23.1203,-134.9692,72.3,81,50,11.32
8,Cape Town,ZA,2021-07-29 14:43:23,-33.9258,18.4232,60.12,89,75,1.01
9,Port Elizabeth,ZA,2021-07-29 14:47:58,-33.918,25.5701,62.89,67,75,19.57
10,Coihaique,CL,2021-07-29 14:47:58,-45.5752,-72.0662,45.21,75,0,9.22
11,Hobart,AU,2021-07-29 14:47:59,-42.8794,147.3294,48.06,80,90,3.0
12,Yellowknife,CA,2021-07-29 14:47:59,62.456,-114.3525,61.32,100,75,1.99
13,Punta Arenas,CL,2021-07-29 14:44:43,-53.15,-70.9167,42.91,75,75,13.8
14,Grants,US,2021-07-29 14:48:00,35.1473,-107.8514,66.43,77,75,3.44
15,Togur,RU,2021-07-29 14:48:00,58.3631,82.8265,54.99,93,3,5.37
16,Arraial Do Cabo,BR,2021-07-29 14:46:46,-22.9661,-42.0278,71.56,59,40,28.77
17,Avarua,CK,2021-07-29 14:48:01,-21.2078,-159.775,66.25,94,33,3.44
18,Kavaratti,IN,2021-07-29 14:48:01,10.5669,72.642,82.29,79,81,14.38
19,Mount Gambier,AU,2021-07-29 14:48:01,-37.8333,140.7667,49.91,62,90,14.97
20,Jamestown,US,2021-07-29 14:47:15,42.097,-79.2353,67.84,95,90,5.01
21,Mahebourg,MU,2021-07-29 14:48:02,-20.4081,57.7,71.26,78,40,17.27
22,Ponta Delgada,PT,2021-07-29 14:48:02,37.7333,-25.6667,75.92,73,40,10.36
23,Kapaa,US,2021-07-29 14:48:02,22.0752,-159.319,79.12,78,40,10.36
24,Hilo,US,2021-07-29 14:48:03,19.7297,-155.09,73.13,90,90,4.61
25,Mildura,AU,2021-07-29 14:48:03,-34.2,142.15,43.07,70,0,8.05
26,Barrow,US,2021-07-29 14:48:03,71.2906,-156.7887,51.82,97,90,4.61
27,Nikolskoye,RU,2021-07-29 14:48:04,59.7035,30.7861,78.4,55,100,7.29
28,Ushuaia,AR,2021-07-29 14:46:53,-54.8,-68.3,47.82,42,40,20.71
29,Busselton,AU,2021-07-29 14:43:30,-33.65,115.3333,51.08,59,100,29.62
30,Puerto Leguizamo,CO,2021-07-29 14:48:04,-0.1934,-74.7819,80.08,78,76,0.74
31,Richards Bay,ZA,2021-07-29 14:48:05,-28.783,32.0377,66.99,53,0,11.23
32,Hokitika,NZ,2021-07-29 14:48:05,-42.7167,170.9667,50.72,81,96,6.51
33,Puerto Ayora,EC,2021-07-29 14:48:05,-0.7393,-90.3518,73.36,78,55,8.34
34,Tuatapere,NZ,2021-07-29 14:48:06,-46.1333,167.6833,44.82,86,95,6.35
35,Kanigoro,ID,2021-07-29 14:48:06,-8.13,112.219,72.97,94,73,4.23
36,Mataura,NZ,2021-07-29 14:48:07,-46.1927,168.8643,44.47,94,22,4.05
37,Brae,GB,2021-07-29 14:48:07,60.3964,-1.353,58.91,89,93,9.26
38,Thompson,CA,2021-07-29 14:46:50,55.7435,-97.8558,60.96,63,20,2.3
39,Bubaque,GW,2021-07-29 14:48:07,11.2833,-15.8333,75.49,90,100,11.95
40,Yatou,CN,2021-07-29 14:48:08,37.15,122.3833,79.05,91,58,22.08
41,Margate,GB,2021-07-29 14:48:08,51.3813,1.3862,72.18,54,32,7.0
42,Bredasdorp,ZA,2021-07-29 14:48:08,-34.5322,20.0403,59.29,80,100,5.35
43,Yerofey Pavlovich,RU,2021-07-29 14:48:08,53.9667,121.9667,59.27,95,99,3.74
44,Provideniya,RU,2021-07-29 14:48:09,64.3833,-173.3,44.71,93,94,7.63
45,Port Alfred,ZA,2021-07-29 14:47:56,-33.5906,26.891,62.82,64,6,25.75
46,Itarema,BR,2021-07-29 14:48:09,-2.9248,-39.9167,87.73,56,40,14.27
47,Kaspiysk,RU,2021-07-29 14:47:09,42.8816,47.6392,78.98,54,100,11.01
48,Talnakh,RU,2021-07-29 14:48:10,69.4865,88.3972,63.28,66,81,5.06
49,Alta Floresta,BR,2021-07-29 14:48:10,-9.8756,-56.0861,73.22,40,0,10.36
50,Dickinson,US,2021-07-29 14:44:08,29.4608,-95.0513,89.55,74,20,1.01
51,Hithadhoo,MV,2021-07-29 14:48:11,-0.6,73.0833,81.61,75,100,10.04
52,Albany,US,2021-07-29 14:48:11,42.6001,-73.9662,75.88,75,97,1.01
53,Mar Del Plata,AR,2021-07-29 14:44:45,-38.0023,-57.5575,53.13,62,0,4.0
54,Vaini,TO,2021-07-29 14:48:11,-21.2,-175.2,68.16,83,20,6.91
55,Guerrero Negro,MX,2021-07-29 14:48:12,27.9769,-114.0611,72.59,77,0,10.42
56,Pisco,PE,2021-07-29 14:48:12,-13.7,-76.2167,62.65,77,90,3.44
57,Jacareacanga,BR,2021-07-29 14:48:13,-6.2222,-57.7528,82.71,57,0,6.91
